,id,locality,type_of_property,subtype_of_property,price,type_of_sale,nr_of_rooms,area,equiped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,total_land_area,nr_of_facades,swimming_pool,building_condition,Localité,Commune principale,Province,Region
0,9044081,1083,0,0,265000.0,0,4.0,90.0,0,False,False,True,13.0,False,0.0,90.0,4.0,False,0,GANSHOREN,GANSHOREN,Bruxelles (19 communes),b'Bruxelles'
1,9043978,1000,0,0,1795000.0,0,4.0,650.0,1,False,True,True,400.0,False,0.0,650.0,3.0,False,0,BRUXELLES,BRUXELLES,Bruxelles (19 communes),b'Bruxelles'
2,9044188,1050,1,1,3800000.0,0,5.0,752.0,2,False,False,True,40.0,True,0.0,340.0,2.0,False,1,IXELLES,IXELLES,Bruxelles (19 communes),b'Bruxelles'
3,9041095,4860,1,2,320000.0,0,5.0,231.0,3,False,False,True,30.0,True,1200.0,1421.0,3.0,False,0,Wegnez,PEPINSTER,Liège,b'Wallonie'
4,9041095,4860,1,2,320000.0,0,5.0,231.0,3,False,False,True,30.0,True,1200.0,1421.0,3.0,False,0,PEPINSTER,PEPINSTER,Liège,b'Wallonie'
5,9041095,4860,1,2,320000.0,0,5.0,231.0,3,False,False,True,30.0,True,1200.0,1421.0,3.0,False,0,Cornesse,PEPINSTER,Liège,b'Wallonie'
6,9043036,9600,0,0,195000.0,0,2.0,75.0,0,False,False,False,0.0,False,0.0,75.0,2.0,False,2,RENAIX,RENAIX,Flandre-Orientale,b'Flandre'
7,9042950,6010,0,3,235000.0,0,3.0,149.0,2,False,False,True,15.0,False,0.0,149.0,2.0,False,0,Couillet,CHARLEROI,Hainaut,b'Wallonie'
8,9042073,1070,0,0,320000.0,0,3.0,130.0,1,False,False,True,14.0,False,0.0,130.0,2.0,False,0,ANDERLECHT,ANDERLECHT,Bruxelles (19 communes),b'Bruxelles'
9,9042267,7181,1,4,325000.0,0,2.0,130.0,0,False,False,True,30.0,True,600.0,1043.0,4.0,False,3,Feluy,SENEFFE,Hainaut,b'Wallonie'
10,9042267,7181,1,4,325000.0,0,2.0,130.0,0,False,False,True,30.0,True,600.0,1043.0,4.0,False,3,Familleureux,SENEFFE,Hainaut,b'Wallonie'
11,9042267,7181,1,4,325000.0,0,2.0,130.0,0,False,False,True,30.0,True,600.0,1043.0,4.0,False,3,Petit-Roeulx-Lez-Nivelles,SENEFFE,Hainaut,b'Wallonie'
12,9042267,7181,1,4,325000.0,0,2.0,130.0,0,False,False,True,30.0,True,600.0,1043.0,4.0,False,3,Arquennes,SENEFFE,Hainaut,b'Wallonie'
13,9042511,5340,1,4,569000.0,0,6.0,324.0,0,False,False,True,57.0,True,0.0,2202.0,4.0,False,1,Mozet,GESVES,Namur,b'Wallonie'
14,9042511,5340,1,4,569000.0,0,6.0,324.0,0,False,False,True,57.0,True,0.0,2202.0,4.0,False,1,GESVES,GESVES,Namur,b'Wallonie'
